Trial,Accuracy,RT
1300,1,0.125
1301,0,4.3125
1302,1,0.125
1303,1,1.25
1304,1,1.25
1305,1,1.25
1306,0,0.1875
1307,0,0.1875
1308,1,1.3125
1309,1,1.1875
1310,1,1.3125
1311,1,1.1875
1312,1,1.3125
1313,1,1.1875
1314,1,1.3125
1315,0,4.375
1316,0,0.125
1317,1,1.25
1318,1,1.25
1319,1,1.3125
1320,0,4.25
1321,1,1.1875
1322,1,0.25
1323,0,4.5625
1324,0,0.125
1325,0,0.1875
1326,1,1.25
1327,1,1.25
1328,0,4.3125
1329,1,1.1875
1330,1,1.25
1331,1,1.25
1332,1,1.25
1333,0,4.375
1334,1,1.125
1335,1,1.3125
1336,1,1.25
1337,0,4.3125
1338,1,1.125
1339,1,1.3125
1340,1,1.25
1341,0,4.3125
1342,0,4.25
1343,1,0.0625
1344,1,1.3125
1345,1,1.25
1346,1,0.1875
1347,0,4.375
1348,1,0.125
1349,1,0.1875
1350,1,0.1875
1351,1,0.1875
1352,1,0.1875
1353,1,1.3125
1354,1,1.25
1355,1,1.25
1356,0,4.3125
1357,0,0.125
1358,1,1.25
1359,0,4.4375
1360,1,0.0625
1361,0,4.3125
1362,1,0.125
1363,1,0.1875
1364,0,0.1875
1365,0,4.0625
1366,1,1.375
1367,1,0.25
1368,0,0.25
1369,0,4.25
1370,1,1.1875
1371,0,4.25
1372,1,1.1875
1373,0,0.1875
1374,0,0.1875
1375,1,1.25
1376,1,0.1875
1377,1,1.25
1378,1,1.25
1379,1,1.25
1380,0,4.25
1381,0,4.0625
1382,0,4.4375
1383,0,0.0625
1384,1,0.25
1385,1,0.1875
1386,1,0.1875
1387,1,1.1875
1388,1,1.3125
1389,0,0.1875
1390,0,4.0625
1391,1,1.1875
1392,0,4.0625
1393,1,0.125
1394,0,4.125
1395,1,1.125
1396,1,1.3125
1397,1,0.1875
1398,1,0.1875
1399,0,0.1875
1400,0,0.25
1401,0,4.5625
1402,0,4.1875
1403,1,1.1875
1404,0,4.375
1405,1,0.0625
1406,1,1.25
1407,0,4.3125
1408,1,0.125
1409,0,4.3125
1410,1,0.125
1411,1,0.1875
1412,0,4.0625
1413,0,4.25
1414,0,0.125
1415,0,4.3125
1416,0,4.0625
1417,1,0.375
1418,1,0.1875
1419,0,4.375
1420,1,0.125
1421,1,0.1875
1422,0,4.3125
1423,0,4.0625
1424,1,0.375
1425,1,0.1875
1426,1,1.25
1427,1,0.1875
1428,0,0.25
1429,1,0.1875
1430,0,4.25
1431,0,0.125
1432,1,0.1875
1433,0,0.25
1434,0,0.25
1435,1,1.1875
1436,1,1.3125
1437,0,4.3125
1438,0,4.0625
1439,0,0.3125
1440,0,0.25
1441,0,4.4375
1442,0,4.125
1443,0,0.125
1444,0,0.1875
1445,1,1.3125
1446,1,0.1875
1447,0,0.1875
1448,0,4.3125
1449,1,0.125
1450,1,1.1875
1451,0,4.0625
1452,0,4.5
1453,1,1.1875
1454,0,4.4375
1455,0,4.3125
1456,0,0.125
1457,1,0.1875
1458,0,4.0625
1459,0,0.5
1460,0,4.3125
1461,0,4.3125
1462,0,0.125
1463,0,0.1875
1464,1,0.1875
1465,0,4.0625
1466,0,0.5
1467,1,1.25
1468,1,1.25
1469,1,0.25
1470,1,1.1875
1471,0,0.1875
1472,1,1.3125
1473,1,1.1875
1474,0,4.0625
1475,1,1.6875
1476,0,4.3125
1477,1,1.1875
1478,0,4.4375
1479,0,0.125
1480,1,1.3125
1481,1,1.1875
1482,1,1.3125
1483,0,4.5
1484,0,4.375
1485,1,1.25
1486,1,1.1875
1487,1,1.25
1488,0,4.6875
1489,0,4.625
1490,1,1.1875
1491,0,4.4375
1492,1,1.125
1493,1,1.3125
1494,0,4.6875
1495,0,4.9375
1496,1,1.125
1497,0,4.0625
1498,0,4.8125
1499,0,0.125
1500,1,0.1875
1501,0,4.0625
1502,0,0.4375
1503,0,0.1875
1504,0,0.1875
1505,0,4.5
1506,1,1.125
1507,0,0.1875
1508,0,4.0625
1509,1,1.625
1510,1,1.1875
1511,0,4.0625
1512,1,1.875
1513,1,1.3125
1514,1,1.1875
1515,0,4.0625
1516,0,4.125
1517,0,0.125
1518,0,4.375
1519,0,4.25
1520,0,4.25
1521,0,4.0625
1522,1,0.375
1523,1,0.1875
1524,1,0.1875
1525,0,0.1875
1526,0,0.1875
1527,1,0.1875
1528,0,4.0625
1529,1,0.4375
1530,0,4.3125
1531,0,4.25
1532,0,0.125
1533,0,4.3125
1534,0,4.25
1535,1,1.1875
1536,0,4.3125
1537,0,0.125
1538,1,0.25
1539,1,0.1875
1540,0,0.1875
1541,1,1.25
1542,0,4.3125
1543,0,0.125
1544,0,4.375
1545,0,4.0625
1546,1,1.5625
1547,1,1.1875
1548,0,0.1875
1549,0,4.0625
1550,1,1.6875
1551,1,0.1875
1552,1,0.1875
