Trial,Accuracy,RT
1110,1,0.125
1111,0,0.1875
1112,0,0.1875
1113,1,1.3125
1114,0,5.625
1115,0,5.3125
1116,0,5.4375
1117,1,0.125
1118,1,0.1875
1119,0,0.25
1120,0,0.1875
1121,1,1.25
1122,1,0.25
1123,1,0.1875
1124,0,0.1875
1125,0,5.4375
1126,1,1.1875
1127,0,0.1875
1128,0,0.25
1129,0,0.1875
1130,0,0.25
1131,1,1.25
1132,0,0.1875
1133,1,0.1875
1134,1,0.1875
1135,0,0.25
1136,1,0.1875
1137,0,5.375
1138,0,0.125
1139,0,5.625
1140,0,0.125
1141,0,0.1875
1142,1,1.25
1143,0,5.4375
1144,1,1.3125
1145,0,5.5625
1146,1,1.25
1147,1,1.3125
1148,0,5.4375
1149,1,1.25
1150,1,0.1875
1151,1,1.3125
1152,0,0.1875
1153,0,0.25
1154,1,1.25
1155,1,1.3125
1156,0,5.375
1157,0,5.3125
1158,1,1.25
1159,1,0.1875
1160,0,0.25
1161,0,0.1875
1162,0,0.1875
1163,0,5.625
1164,1,1.1875
1165,1,0.25
1166,0,5.5625
1167,0,5.625
1168,0,0.0625
1169,1,1.3125
1170,0,5.375
1171,1,1.3125
1172,1,0.1875
1173,0,0.1875
1174,1,1.25
1175,0,5.375
1176,1,1.3125
1177,1,1.25
1178,1,1.375
1179,1,1.25
1180,1,1.3125
1181,1,1.3125
1182,1,1.3125
1183,0,5.375
1184,0,5.3125
1185,1,1.1875
1186,1,1.3125
1187,1,1.25
1188,1,1.375
1189,1,1.25
1190,0,5.375
1191,0,5.3125
1192,1,1.25
1193,0,5.5
1194,1,1.25
1195,1,1.25
1196,0,5.5625
1197,1,1.1875
1198,1,1.375
1199,0,5.5625
1200,0,5.5625
1201,0,5.5
1202,1,1.25
1203,1,1.3125
1204,1,1.3125
1205,1,1.3125
1206,0,5.375
1207,1,1.1875
1208,1,1.3125
1209,1,1.3125
1210,0,5.375
1211,1,1.25
1212,0,5.375
1213,0,5.3125
1214,0,5.5625
1215,1,1.1875
1216,0,5.625
1217,0,5.5
1218,0,5.5625
1219,1,1.3125
1220,0,0.1875
1221,1,1.25
1222,1,1.375
1223,1,1.25
1224,1,1.3125
1225,1,1.25
1226,0,5.4375
1227,1,1.25
1228,0,5.375
1229,0,5.3125
1230,1,1.1875
1231,1,1.375
1232,1,1.25
1233,1,1.3125
1234,1,1.3125
1235,1,1.3125
1236,1,1.25
1237,0,5.375
1238,1,1.25
1239,1,1.3125
1240,0,5.375
1241,1,1.25
1242,1,1.25
1243,1,1.3125
1244,0,5.4375
1245,0,5.25
1246,0,5.3125
1247,0,5.5625
1248,1,1.25
1249,1,1.3125
1250,0,5.375
1251,0,5.5625
1252,0,5.5625
1253,0,5.5
1254,0,5.5625
1255,1,1.3125
1256,0,0.1875
1257,1,1.25
1258,1,1.3125
1259,0,5.4375
1260,1,1.1875
1261,0,5.625
1262,1,1.25
1263,1,1.3125
1264,0,5.375
1265,0,5.5625
1266,1,0.0625
1267,1,1.375
1268,1,1.25
1269,0,5.375
1270,0,0.125
1271,1,1.3125
1272,0,5.375
1273,0,5.5
1274,1,1.1875
1275,0,5.375
1276,1,0.125
1277,1,0.25
1278,1,1.3125
1279,0,0.1875
1280,1,0.1875
1281,1,0.1875
1282,1,1.3125
1283,1,1.3125
1284,1,0.1875
1285,1,1.3125
1286,0,5.375
1287,0,5.3125
1288,1,1.1875
1289,1,1.3125
1290,0,5.4375
1291,1,1.125
1292,1,0.25
1293,1,0.1875
1294,1,1.3125
1295,0,0.1875
1296,1,0.1875
1297,1,1.3125
1298,1,0.25
1299,1,0.1875
1300,0,5.375
1301,1,0.125
1302,1,1.25
1303,0,0.1875
1304,1,0.1875
1305,1,1.375
1306,0,5.375
1307,0,0.125
1308,1,0.1875
1309,1,0.1875
1310,0,0.1875
1311,1,0.1875
1312,1,0.1875
1313,1,1.375
1314,0,5.375
1315,1,1.1875
1316,0,5.375
1317,0,5.3125
1318,0,0.0625
1319,0,5.4375
1320,1,0.125
1321,0,0.1875
1322,0,0.1875
1323,0,0.3125
1324,0,5.4375
1325,1,0.125
1326,0,5.5625
1327,0,5.5625
1328,0,5.5625
1329,1,0.125
1330,1,2.3125
1331,0,0.1875
1332,0,0.25
1333,0,5.5
1334,0,5.4375
1335,1,0.125
1336,1,0.1875
1337,1,1.3125
1338,1,0.25
1339,1,0.1875
1340,1,0.1875
1341,0,5.5
1342,0,5.5
1343,0,5.5
1344,0,0.125
1345,0,5.375
1346,0,0.125
1347,0,5.5625
1348,1,0.125
1349,1,0.1875
1350,1,0.25
1351,0,5.5625
1352,0,4.9375
1353,1,0.125
1354,0,0.25
1355,1,1.1875
1356,0,0.1875
1357,0,5.625
1358,0,5.5
1359,1,0.125
1360,0,5.8125
1361,1,1.1875
1362,1,1.25
1363,1,1.3125
1364,0,5.375
1365,0,0.125
1366,0,5.375
1367,0,0.125
1368,1,1.3125
1369,1,0.25
1370,1,1.25
1371,0,5.375
1372,0,0.125
1373,1,1.3125
1374,1,0.1875
1375,1,1.3125
1376,1,1.3125
1377,1,1.25
1378,1,1.3125
1379,0,0.25
1380,0,0.1875
1381,0,0.1875
1382,1,0.1875
1383,1,0.1875
1384,0,5.375
1385,0,0.125
1386,1,1.3125
1387,1,0.1875
1388,1,1.3125
1389,0,0.1875
1390,1,0.1875
1391,0,0.1875
1392,1,1.3125
1393,1,1.3125
1394,1,1.3125
1395,1,1.25
1396,0,5.375
1397,1,1.3125
1398,1,1.25
1399,1,1.3125
1400,0,5.375
1401,1,1.1875
1402,0,5.375
1403,1,1.25
1404,1,1.3125
1405,1,1.3125
1406,1,1.25
1407,0,5.375
1408,1,1.25
1409,1,1.3125
1410,0,5.375
1411,0,5.3125
1412,1,1.25
1413,1,1.25
1414,0,5.375
1415,0,5.3125
1416,1,1.25
1417,0,5.375
1418,0,5.3125
1419,1,0.125
1420,1,0.1875
1421,1,0.1875
1422,1,0.1875
1423,0,5.375
1424,1,1.25
1425,0,5.5
1426,1,0.0625
1427,1,0.3125
1428,0,5.5625
1429,1,1.25
1430,1,0.1875
1431,0,5.5625
1432,0,0.125
1433,1,1.3125
1434,1,1.25
1435,0,0.25
1436,1,1.3125
1437,0,0.1875
1438,1,1.25
1439,0,5.375
1440,0,0.125
1441,1,1.375
1442,1,1.25
1443,1,1.3125
1444,0,5.375
1445,0,0.125
1446,1,0.1875
