BufferFrom,SlotFrom,BufferTo,SlotTo,Production,Value
GOAL,SLOT3,MANUAL,SLOT1,FROM-GOAL-SLOT3-TO-MANUAL-SLOT1,NIL
GOAL,SLOT3,MANUAL,SLOT2,FROM-GOAL-SLOT3-TO-MANUAL-SLOT2,NIL
GOAL,SLOT3,MANUAL,SLOT3,FROM-GOAL-SLOT3-TO-MANUAL-SLOT3,NIL
RETRIEVAL,SLOT1,VISUAL,SLOT1,FROM-RETRIEVAL-SLOT1-TO-VISUAL-SLOT1,NA
RETRIEVAL,SLOT1,VISUAL,SLOT2,FROM-RETRIEVAL-SLOT1-TO-VISUAL-SLOT2,NA
RETRIEVAL,SLOT1,VISUAL,SLOT3,FROM-RETRIEVAL-SLOT1-TO-VISUAL-SLOT3,NA
RETRIEVAL,SLOT1,IMAGINAL,SLOT1,FROM-RETRIEVAL-SLOT1-TO-IMAGINAL-SLOT1,-11.561179
RETRIEVAL,SLOT1,IMAGINAL,SLOT2,FROM-RETRIEVAL-SLOT1-TO-IMAGINAL-SLOT2,-11.784665
RETRIEVAL,SLOT1,IMAGINAL,SLOT3,FROM-RETRIEVAL-SLOT1-TO-IMAGINAL-SLOT3,-11.639887
RETRIEVAL,SLOT1,GOAL,SLOT1,FROM-RETRIEVAL-SLOT1-TO-GOAL-SLOT1,-11.35977
RETRIEVAL,SLOT1,GOAL,SLOT2,FROM-RETRIEVAL-SLOT1-TO-GOAL-SLOT2,-11.88028
RETRIEVAL,SLOT1,GOAL,SLOT3,FROM-RETRIEVAL-SLOT1-TO-GOAL-SLOT3,-11.92487
RETRIEVAL,SLOT1,RETRIEVAL,SLOT1,FROM-RETRIEVAL-SLOT1-TO-RETRIEVAL-SLOT1,NA
RETRIEVAL,SLOT1,RETRIEVAL,SLOT2,FROM-RETRIEVAL-SLOT1-TO-RETRIEVAL-SLOT2,NA
RETRIEVAL,SLOT1,RETRIEVAL,SLOT3,FROM-RETRIEVAL-SLOT1-TO-RETRIEVAL-SLOT3,NA
RETRIEVAL,SLOT1,MANUAL,SLOT1,FROM-RETRIEVAL-SLOT1-TO-MANUAL-SLOT1,NIL
RETRIEVAL,SLOT1,MANUAL,SLOT2,FROM-RETRIEVAL-SLOT1-TO-MANUAL-SLOT2,NIL
RETRIEVAL,SLOT1,MANUAL,SLOT3,FROM-RETRIEVAL-SLOT1-TO-MANUAL-SLOT3,NIL
RETRIEVAL,SLOT2,VISUAL,SLOT1,FROM-RETRIEVAL-SLOT2-TO-VISUAL-SLOT1,NA
RETRIEVAL,SLOT2,VISUAL,SLOT2,FROM-RETRIEVAL-SLOT2-TO-VISUAL-SLOT2,NA
RETRIEVAL,SLOT2,VISUAL,SLOT3,FROM-RETRIEVAL-SLOT2-TO-VISUAL-SLOT3,NA
RETRIEVAL,SLOT2,IMAGINAL,SLOT1,FROM-RETRIEVAL-SLOT2-TO-IMAGINAL-SLOT1,-11.85754
RETRIEVAL,SLOT2,IMAGINAL,SLOT2,FROM-RETRIEVAL-SLOT2-TO-IMAGINAL-SLOT2,-11.296963
RETRIEVAL,SLOT2,IMAGINAL,SLOT3,FROM-RETRIEVAL-SLOT2-TO-IMAGINAL-SLOT3,-12.179251
RETRIEVAL,SLOT2,GOAL,SLOT1,FROM-RETRIEVAL-SLOT2-TO-GOAL-SLOT1,-11.618914
RETRIEVAL,SLOT2,GOAL,SLOT2,FROM-RETRIEVAL-SLOT2-TO-GOAL-SLOT2,-11.88588
RETRIEVAL,SLOT2,GOAL,SLOT3,FROM-RETRIEVAL-SLOT2-TO-GOAL-SLOT3,-11.626887
RETRIEVAL,SLOT2,RETRIEVAL,SLOT1,FROM-RETRIEVAL-SLOT2-TO-RETRIEVAL-SLOT1,NA
RETRIEVAL,SLOT2,RETRIEVAL,SLOT2,FROM-RETRIEVAL-SLOT2-TO-RETRIEVAL-SLOT2,NA
RETRIEVAL,SLOT2,RETRIEVAL,SLOT3,FROM-RETRIEVAL-SLOT2-TO-RETRIEVAL-SLOT3,NA
RETRIEVAL,SLOT2,MANUAL,SLOT1,FROM-RETRIEVAL-SLOT2-TO-MANUAL-SLOT1,NIL
RETRIEVAL,SLOT2,MANUAL,SLOT2,FROM-RETRIEVAL-SLOT2-TO-MANUAL-SLOT2,NIL
RETRIEVAL,SLOT2,MANUAL,SLOT3,FROM-RETRIEVAL-SLOT2-TO-MANUAL-SLOT3,NIL
RETRIEVAL,SLOT3,VISUAL,SLOT1,FROM-RETRIEVAL-SLOT3-TO-VISUAL-SLOT1,NA
RETRIEVAL,SLOT3,VISUAL,SLOT2,FROM-RETRIEVAL-SLOT3-TO-VISUAL-SLOT2,NA
RETRIEVAL,SLOT3,VISUAL,SLOT3,FROM-RETRIEVAL-SLOT3-TO-VISUAL-SLOT3,NA
RETRIEVAL,SLOT3,IMAGINAL,SLOT1,FROM-RETRIEVAL-SLOT3-TO-IMAGINAL-SLOT1,-10.999212
